Date,AAPL,MSFT,TSLA
2023-01-03,123.09601593017578,233.4528045654297,108.0999984741211
2023-01-04,124.36566162109375,223.24082946777344,113.63999938964844
2023-01-05,123.04680633544922,216.62449645996094,110.33999633789062
2023-01-06,127.57421112060547,219.17745971679688,113.05999755859375
2023-01-09,128.09585571289062,221.31146240234375,119.7699966430664
2023-01-10,128.66668701171875,222.99720764160156,118.8499984741211
2023-01-11,131.3831329345703,229.74024963378906,123.22000122070312
2023-01-12,131.30438232421875,232.41018676757812,123.55999755859375
2023-01-13,132.63302612304688,233.1117401123047,122.4000015258789
2023-01-17,133.79444885253906,234.203125,131.49000549316406
2023-01-18,133.0759735107422,229.77923583984375,128.77999877929688
2023-01-19,133.13504028320312,225.99842834472656,127.16999816894531
2023-01-20,135.69400024414062,234.07644653320312,133.4199981689453
2023-01-23,138.8828887939453,236.3760528564453,143.75
2023-01-24,140.2804412841797,235.8498992919922,143.88999938964844
2023-01-25,139.62100219726562,234.4564666748047,144.42999267578125
2023-01-26,141.6879119873047,241.65744018554688,160.27000427246094
2023-01-27,143.62677001953125,241.81336975097656,177.89999389648438
2023-01-30,140.74305725097656,236.50274658203125,166.66000366210938
2023-01-31,142.01268005371094,241.4723358154297,173.22000122070312
2023-02-01,143.13465881347656,246.28598022460938,181.41000366210938
2023-02-02,148.43960571289062,257.83294677734375,188.27000427246094
2023-02-03,152.06153869628906,251.74276733398438,189.97999572753906
2023-02-06,149.33523559570312,250.20318603515625,194.75999450683594
2023-02-07,152.20916748046875,260.71722412109375,196.80999755859375
2023-02-08,149.52224731445312,259.9084167480469,201.2899932861328
2023-02-09,148.48880004882812,256.87799072265625,207.32000732421875
2023-02-10,148.8535614013672,256.3713073730469,196.88999938964844
2023-02-13,151.6529998779297,264.381103515625,194.63999938964844
2023-02-14,151.0122833251953,265.2093200683594,209.25
2023-02-15,153.11184692382812,263.0895080566406,214.24000549316406
2023-02-16,151.5150146484375,256.08538818359375,202.0399932861328
2023-02-17,150.37156677246094,252.09002685546875,208.30999755859375
2023-02-21,146.3596649169922,246.82470703125,197.3699951171875
2023-02-22,146.78355407714844,245.69155883789062,200.86000061035156
2023-02-23,147.26654052734375,248.8761444091797,202.07000732421875
2023-02-24,144.61492919921875,243.45452880859375,196.8800048828125
2023-02-27,145.8076629638672,244.37274169921875,207.6300048828125
2023-02-28,145.30494689941406,243.64988708496094,205.7100067138672
2023-03-01,143.2349090576172,240.57278442382812,202.77000427246094
2023-03-02,143.8263702392578,245.30078125,190.89999389648438
2023-03-03,148.87326049804688,249.3841094970703,197.7899932861328
2023-03-06,151.63328552246094,250.9275665283203,193.80999755859375
2023-03-07,149.43511962890625,248.2704620361328,187.7100067138672
2023-03-08,150.68698120117188,247.8308563232422,182.0
2023-03-09,148.43954467773438,246.48281860351562,172.9199981689453
2023-03-10,146.37940979003906,242.83908081054688,173.44000244140625
2023-03-13,148.32125854492188,248.04579162597656,174.47999572753906
2023-03-14,150.41098022460938,254.75686645507812,183.25999450683594
2023-03-15,150.80528259277344,259.2992858886719,180.4499969482422
2023-03-16,153.62442016601562,269.8103942871094,184.1300048828125
2023-03-17,152.78652954101562,272.9656066894531,180.1300048828125
2023-03-20,155.15228271484375,265.9322204589844,183.25
2023-03-21,157.00543212890625,267.4463195800781,197.5800018310547
2023-03-22,155.5761260986328,265.9908447265625,191.14999389648438
2023-03-23,156.66043090820312,271.236572265625,192.22000122070312
2023-03-24,157.96160888671875,274.07928466796875,190.41000366210938
2023-03-27,156.01974487304688,269.9862060546875,191.80999755859375
2023-03-28,155.39871215820312,268.86279296875,189.19000244140625
2023-03-29,158.4741668701172,274.0206604003906,193.8800048828125
2023-03-30,160.0414581298828,277.478759765625,195.27999877929688
2023-03-31,162.545166015625,281.6304016113281,207.4600067138672
2023-04-03,163.79705810546875,280.5851745605469,194.77000427246094
2023-04-04,163.2647705078125,280.5363464355469,192.5800018310547
2023-04-05,161.4214630126953,277.7620544433594,185.52000427246094
2023-04-06,162.30862426757812,284.8540344238281,185.05999755859375
2023-04-10,159.71617126464844,282.6951904296875,184.50999450683594
2023-04-11,158.50375366210938,276.2869567871094,186.7899932861328
2023-04-12,157.813720703125,276.9317626953125,180.5399932861328
2023-04-13,163.1957550048828,283.1348571777344,185.89999389648438
2023-04-14,162.8507537841797,279.52044677734375,185.0
2023-04-17,162.8704833984375,282.118896484375,187.0399932861328
2023-04-18,164.0927734375,281.6988525390625,184.30999755859375
2023-04-19,165.2362060546875,281.7769775390625,180.58999633789062
2023-04-20,164.2702178955078,279.4910888671875,162.99000549316406
2023-04-21,162.66351318359375,279.1492004394531,165.0800018310547
2023-04-24,162.96902465820312,275.2514953613281,162.5500030517578
2023-04-25,161.43130493164062,269.0484313964844,160.6699981689453
2023-04-26,161.4214630126953,288.536865234375,153.75
2023-04-27,166.00506591796875,297.7780456542969,160.19000244140625
2023-04-28,167.25689697265625,300.1518249511719,164.30999755859375
2023-05-01,167.16822814941406,298.4910888671875,161.8300018310547
2023-05-02,166.13320922851562,298.34454345703125,160.30999755859375
2023-05-03,165.05877685546875,297.3579406738281,160.61000061035156
2023-05-04,163.42245483398438,298.34454345703125,161.1999969482422
2023-05-05,171.09140014648438,303.4634094238281,170.05999755859375
2023-05-08,171.0223846435547,301.5096740722656,171.7899932861328
2023-05-09,169.31712341308594,299.8977966308594,169.14999389648438
2023-05-10,171.08151245117188,305.0849609375,168.5399932861328
2023-05-11,171.26881408691406,302.9358215332031,172.0800018310547
2023-05-12,170.3409423828125,301.8222351074219,167.97999572753906
2023-05-15,169.847412109375,302.3009033203125,166.35000610351562
2023-05-16,169.847412109375,304.5281982421875,166.52000427246094
2023-05-17,170.45941162109375,307.40643310546875,173.86000061035156
2023-05-18,172.7888946533203,311.83154296875,176.88999938964844
2023-05-19,172.89747619628906,311.6552734375,180.13999938964844
2023-05-22,171.9498748779297,314.43560791015625,188.8699951171875
2023-05-23,169.343994140625,308.6399841308594,185.77000427246094
2023-05-24,169.62039184570312,307.2595520019531,182.89999389648438
2023-05-25,170.7555389404297,319.07611083984375,184.47000122070312
2023-05-26,173.16400146484375,325.8998107910156,193.1699981689453
2023-05-30,175.0098419189453,324.2550964355469,201.16000366210938
2023-05-31,174.9604949951172,321.4942321777344,203.92999267578125
2023-06-01,177.76380920410156,325.5962829589844,207.52000427246094
